UserID,TotalPlays,AvgSessionLength,AvgListenTime,FavGenre,LikedSongs,ArtistDiversity
U001,1012,46.09,20,Rock,470,0.38
U002,304,28.56,20,Classical,487,0.65
U003,2353,37.09,3,Classical,417,0.56
U004,2106,24.91,1,Hip-Hop,450,0.45
U005,1928,59.85,12,Jazz,30,0.62
U006,1243,12.61,23,Hip-Hop,470,0.33
U007,939,32.14,10,Indie,193,0.74
U008,4567,46.57,3,Pop,117,0.1
U009,812,52.36,7,Pop,359,0.93
U010,4937,13.41,6,Jazz,137,0.58
U011,3556,13.8,6,Electronic,351,0.75
U012,360,42.43,17,Electronic,62,0.77
U013,344,37.8,14,Pop,191,0.7
U014,867,26.16,4,Pop,409,0.43
U015,1891,37.77,13,Electronic,296,0.16
U016,2005,30.74,5,Rock,462,0.7
U017,4239,18.83,8,Electronic,457,0.4
U018,317,35.43,14,Hip-Hop,218,0.38
U019,4697,56.83,7,Rock,327,0.86
U020,1728,42.42,2,Hip-Hop,393,0.75
U021,4564,11.3,14,Pop,89,0.37
U022,3536,53.66,17,Rock,483,0.38
U023,1905,46.3,3,Hip-Hop,486,0.47
U024,3779,47.27,1,Hip-Hop,131,0.46
U025,4927,23.71,20,Rock,452,0.37
U026,2378,21.14,17,Jazz,93,0.21
U027,153,13.7,0,Indie,419,0.48
U028,1407,5.18,2,Electronic,425,0.95
U029,3562,44.72,7,Classical,100,0.71
U030,2887,44.58,5,Hip-Hop,461,0.91
U031,2376,58.45,13,Electronic,221,0.65
U032,1373,46.91,15,Indie,22,0.37
U033,1863,32.92,15,Classical,101,0.59
U034,2857,10.85,6,Electronic,387,0.1
U035,937,39.39,12,Pop,483,0.36
U036,859,51.29,1,Classical,180,0.49
U037,3212,32.92,5,Indie,410,0.62
U038,892,15.94,12,Electronic,486,0.69
U039,3040,25.57,0,Hip-Hop,220,0.52
U040,2917,13.89,12,Classical,420,0.5
U041,2266,57.44,8,Pop,352,0.29
U042,455,55.73,14,Rock,452,0.53
U043,3863,55.52,9,Hip-Hop,386,0.91
U044,4492,37.94,13,Pop,425,0.82
U045,1122,31.87,22,Pop,137,0.25
U046,3200,11.15,23,Classical,146,0.18
U047,745,24.96,17,Electronic,91,0.56
U048,4622,59.19,21,Rock,413,0.67
U049,2501,49.37,22,Hip-Hop,369,0.4
U050,3062,18.17,15,Hip-Hop,65,0.84
U051,4829,18.25,4,Electronic,205,0.78
U052,1675,36.2,6,Rock,456,0.71
U053,669,9.33,9,Classical,29,0.3
U054,475,45.25,6,Hip-Hop,449,0.28
U055,1966,49.88,1,Rock,250,0.12
U056,2470,58.79,18,Classical,123,0.32
U057,753,34.3,23,Classical,112,0.53
U058,2007,11.92,17,Indie,428,0.86
U059,927,41.29,1,Hip-Hop,480,0.17
U060,3213,57.08,23,Electronic,245,0.47
U061,2377,14.08,10,Jazz,189,0.67
U062,3814,34.02,1,Hip-Hop,166,0.27
U063,3088,38.36,1,Indie,430,0.73
U064,1432,58.04,18,Pop,417,0.54
U065,3132,56.09,15,Pop,456,0.32
U066,3010,46.54,16,Classical,126,0.69
U067,1816,42.94,16,Jazz,124,0.1
U068,2287,44.21,5,Indie,22,0.78
U069,684,26.94,1,Hip-Hop,347,0.79
U070,1501,41.94,16,Pop,108,0.2
U071,4475,25.54,2,Pop,214,0.48
U072,2105,54.48,5,Hip-Hop,178,0.26
U073,1438,29.83,2,Indie,152,0.96
U074,3886,18.63,19,Rock,452,0.57
U075,3208,8.52,2,Classical,45,0.15
U076,2311,6.16,21,Hip-Hop,405,0.32
U077,4662,35.47,7,Rock,152,0.86
U078,1899,37.36,12,Classical,189,0.51
U079,2756,5.4,3,Jazz,338,0.82
U080,558,43.93,18,Electronic,270,0.7
U081,1976,8.24,7,Classical,214,0.99
U082,362,8.71,18,Jazz,357,0.64
U083,2684,6.73,19,Electronic,441,0.96
U084,3386,23.17,1,Pop,284,0.9
U085,2293,33.28,19,Pop,179,0.65
U086,642,20.32,2,Pop,490,0.75
U087,1828,31.7,13,Classical,24,0.55
U088,4746,34.66,21,Rock,69,0.85
U089,2677,44.78,18,Electronic,459,0.59
U090,1841,53.53,18,Pop,143,0.91
U091,4189,36.69,16,Indie,101,0.77
U092,3341,18.36,10,Hip-Hop,307,0.53
U093,3858,31.01,8,Electronic,145,0.33
U094,1270,27.39,6,Electronic,29,0.32
U095,2269,10.19,21,Rock,65,0.67
U096,1243,41.24,22,Jazz,315,0.79
U097,2120,24.49,10,Rock,232,0.57
U098,4698,27.61,7,Pop,186,0.66
U099,4515,52.51,8,Hip-Hop,383,0.35
U100,2252,7.98,12,Hip-Hop,412,0.17
